Id;City;Area;Street;HouseNumber;Price;Size;Rooms;Floor;NumberOfFloors;Year;Type;Heating;Furnishings;Link;UploadDate;ViewedBy;RememberedBy;ScrapeDate;Class
998A891F-602A-4522-B586-0D1429A2D987;Kaunas;" Žemutiniai Kaniūkai";" Raudondvario pl.";288A;135000;76,76;3;1;5;2007;Mūrinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-raudondvario-pl-parduodamas-modernus-kokybiskai-irengtas-1-3177516/;2022-02-06 00:00:00.0000000;1783;38;2022-02-16 22:52:22.4071710;butas
757DA15C-7E07-4216-972E-0D6593A9B989;Kaunas;" Freda";" Bitininkų g.";43D;199990;70,3;3;3;3;2017;Mūrinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-fredoje-bitininku-g-unikali-galimybe-isigyti-isskirtinius-1-3161491/;2022-02-14 00:00:00.0000000;503;78;2022-02-16 22:23:34.2495530;butas
5876EF2F-70CF-49AF-BFF1-0DEFCB6A7B4F;Kaunas;" Dainava";" Taikos pr.";97;49000;30;1;4;5;1970;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-taikos-pr-parduodamas-jaukus-siltas-30-m-butas-1-3174584/;2022-02-16 00:00:00.0000000;252;15;2022-02-16 22:17:51.9863220;butas
6102B242-B37A-4000-ACF8-0E37951600E7;Kaunas;" Senamiestis";" Karaliaus Mindaugo pr.";9;275000;86;4;2;3;2021;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-senamiestyje-karaliaus-mindaugo-pr-parduodamas-keturiu-kambariu-butas-naujai-1-3083411/;2021-09-17 00:00:00.0000000;1520;5;2022-02-17 08:02:33.3923260;butas
ED9019A4-66D8-4C33-BC99-0E407B6FEC37;Kaunas;" Centras";" Savanorių pr.";45;64400;28;2;2;3;2021;Mūrinis;Dujinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-centre-savanoriu-pr-savanoriu-3-centrineje-miesto-dalyje-naujos-1-3162284/;2021-12-08 00:00:00.0000000;2595;33;2022-02-17 07:34:34.8502920;butas
64C45B35-637B-45CA-A85F-0ED35BC30CC4;Kaunas;" Dainava";" Pramonės pr.";57;107000;39,64;2;8;9;2021;Mūrinis;Centrinis kolektorinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-parduodamas-butas-dainavos-mikrorajone-kaune-1-3177998/;2022-02-07 00:00:00.0000000;550;11;2022-02-16 22:47:38.4199720;butas
258FD396-D355-4082-BCC7-0EDC20D1D6FB;Kaunas;" Eiguliai";" Sukilėlių pr.";10C;105000;77,67;4;3;5;1980;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-eiguliuose-sukileliu-pr-parduodamas-4-kambariu-butas-eiguliu-1-3177340/;2022-02-04 00:00:00.0000000;845;16;2022-02-16 22:53:37.8235550;butas
8C30E92D-252E-4D4A-8B97-0F98ED8CDB87;Kaunas;" Senamiestis";" M. Daukšos g.";34A;110000;111;3;4;4;1999;Mūrinis;Dujinis, kita;Kita;https://www.aruodas.lt/butai-kaune-senamiestyje-m-dauksos-g-kauno-senamiestyje-parduodama-91-kvm-palep-1-3169364/;2022-02-07 00:00:00.0000000;1383;78;2022-02-16 22:49:30.5723330;butas
297E0C9B-9552-49E8-B452-0FBFC7B5BE8C;Kaunas;" Vilijampolė";" Brastos g.";22A;375000;136,83;4;1;6;2022;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-vilijampoleje-brastos-g-desiniajame-neries-krante-kitapus-1-3063141/;2021-07-26 00:00:00.0000000;7112;11;2022-02-17 08:05:10.6620340;butas
BD217908-36C8-4DF1-9B25-0FFF606BE19C;Kaunas;" Centras";" Šiaulių g.";6;43900;36,25;2;1;2;1888;Medinis;Elektra;Įrengtas;https://www.aruodas.lt/butai-kaune-centre-siauliu-g-salia-akropolio-parduodamas-labai-siltas-1-3173242/;2022-02-03 00:00:00.0000000;1005;25;2022-02-17 01:12:41.8020280;butas
031F3929-0264-4DA1-AE0A-10016871D76F;Kaunas;" Dainava";" Pramonės pr.";96;29000;26;1;3;5;1975;Mūrinis;Centrinis kolektorinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-parduodamas-1-k-butasrenovuotame-name-1-3175590/;2022-01-31 00:00:00.0000000;2935;32;2022-02-17 01:22:36.8010350;butas
